name,hubble_type,dist_mpc,inc_deg,L36_GLsun,Reff_kpc,SBeff,Rdisk_kpc,MHI_GMsun,Vflat_kms,quality
UGC07125,9,19.8,90.0,2.712,3.92,28.11,3.38,4.629,65.2,1
UGC07151,6,6.87,90.0,2.284,2.17,76.71,1.25,0.616,73.5,1
UGC07232,10,2.83,59.0,0.113,0.46,83.34,0.29,0.046,,2
UGC07261,8,13.1,30.0,1.753,2.66,39.16,1.2,1.388,74.7,2
UGC07323,8,8.0,47.0,4.109,3.26,61.49,2.26,0.722,,1
UGC07399,8,8.43,55.0,1.156,1.27,113.98,1.64,0.745,103.0,1
UGC07524,9,4.74,46.0,2.436,3.61,29.71,3.46,1.779,79.5,1
UGC07559,10,4.97,61.0,0.109,0.98,17.9,0.58,0.169,,2
UGC07577,10,2.59,63.0,0.045,0.77,11.94,0.9,0.044,,2
UGC07603,7,4.7,78.0,0.376,0.85,81.81,0.53,0.258,61.6,1
UGC07608,10,8.21,25.0,0.264,1.6,16.48,1.5,0.535,,1
UGC07690,10,8.11,41.0,0.858,0.86,184.01,0.57,0.39,57.4,2
UGC07866,10,4.57,44.0,0.124,0.95,21.92,0.61,0.118,,2
UGC08286,6,6.5,90.0,1.255,2.25,39.52,1.05,0.642,82.4,1
UGC08490,9,4.65,50.0,1.017,1.14,124.98,0.67,0.72,78.6,1
UGC08550,7,6.7,90.0,0.289,1.01,45.38,0.45,0.288,56.9,1
UGC08699,2,39.3,73.0,50.302,1.91,2191.95,3.09,3.738,182.4,2
UGC08837,10,7.21,80.0,0.501,2.25,15.73,1.72,0.32,,2
UGC09037,6,83.6,65.0,68.614,5.69,334.83,4.28,19.078,152.3,2
UGC09133,2,57.1,53.0,282.926,5.92,1284.78,6.97,33.428,226.8,1
UGC09992,10,10.7,30.0,0.336,1.62,20.18,1.04,0.318,33.6,2
UGC10310,9,15.2,34.0,1.741,3.12,28.37,1.8,1.196,71.4,1
UGC11455,6,78.6,90.0,374.322,10.06,571.26,5.93,13.335,269.4,1
UGC11557,8,24.2,30.0,12.101,4.18,106.86,2.75,2.605,,2
UGC11820,9,18.1,45.0,0.97,2.74,20.18,2.08,1.977,,1
UGC11914,2,16.9,31.0,150.028,3.12,2425.66,2.44,0.888,288.1,1
UGC12506,6,100.6,86.0,139.571,12.36,144.82,7.38,35.556,234.0,2
UGC12632,9,9.77,46.0,1.301,3.94,13.09,2.42,1.744,71.7,1
UGC12732,9,13.2,39.0,1.667,3.12,26.84,1.98,3.66,,1
UGCA281,11,5.68,67.0,0.194,1.57,12.5,1.72,0.062,,3
UGCA442,9,4.35,64.0,0.14,1.71,7.6,1.18,0.263,56.4,1
UGCA444,10,0.98,78.0,0.012,0.41,11.94,0.83,0.067,37.0,2
